Region,Date,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,02042020,10.0,1.0,0.0
Assam,02042020,1.0,0.0,0.0
Bihar,02042020,23.0,0.0,1.0
Chandigarh,02042020,16.0,0.0,0.0
Chhattisgarh,02042020,9.0,2.0,0.0
Delhi,02042020,152.0,6.0,2.0
Goa,02042020,5.0,0.0,0.0
Gujarat,02042020,82.0,5.0,6.0
Haryana,02042020,43.0,21.0,0.0
Himachal Pradesh,02042020,3.0,0.0,1.0
Jammu and Kashmir,02042020,62.0,2.0,2.0
Jharkhand,02042020,1.0,0.0,0.0
Karnataka,02042020,101.0,8.0,3.0
Kerala,02042020,241.0,23.0,2.0
Ladakh,02042020,13.0,3.0,0.0
Madhya Pradesh,02042020,66.0,0.0,3.0
Maharashtra,02042020,302.0,39.0,9.0
Manipur,02042020,1.0,0.0,0.0
Mizoram,02042020,1.0,0.0,0.0
Odisha,02042020,4.0,0.0,0.0
Puducherry,02042020,3.0,1.0,0.0
Punjab,02042020,42.0,1.0,3.0
Rajasthan,02042020,93.0,3.0,0.0
Tamil Nadu,02042020,234.0,6.0,1.0
Telengana,02042020,96.0,1.0,3.0
Uttarakhand,02042020,7.0,2.0,0.0
Uttar Pradesh,02042020,103.0,14.0,2.0
West Bengal,02042020,37.0,6.0,3.0
National Total,02042020,1834.0,144.0,41.0
