Region,Date,Confirmed,Recovered/Migrated,Deceased
Kerala,20200330,202.0,19.0,1.0
Ladakh,20200330,13.0,3.0,0.0
Madhya Pradesh,20200330,47.0,0.0,3.0
Maharashtra,20200330,198.0,25.0,8.0
Manipur,20200330,1.0,0.0,0.0
Mizoram,20200330,1.0,0.0,0.0
Odisha,20200330,3.0,0.0,0.0
Puducherry,20200330,1.0,0.0,0.0
Punjab,20200330,38.0,1.0,1.0
Rajasthan,20200330,59.0,3.0,0.0
Tamil Nadu,20200330,67.0,4.0,1.0
Telengana,20200330,71.0,1.0,1.0
Uttarakhand,20200330,7.0,2.0,0.0
Uttar Pradesh,20200330,82.0,11.0,0.0
West Bengal,20200330,22.0,0.0,1.0
Andhra Pradesh,20200331,40.0,1.0,0.0
Andaman and Nicobar Islands,20200331,10.0,0.0,0.0
Bihar,20200331,15.0,0.0,1.0
Chandigarh,20200331,13.0,0.0,0.0
Chhattisgarh,20200331,8.0,0.0,0.0
Delhi,20200331,97.0,6.0,2.0
Goa,20200331,5.0,0.0,0.0
Gujarat,20200331,73.0,3.0,6.0
Haryana,20200331,40.0,21.0,0.0
Himachal Pradesh,20200331,3.0,0.0,1.0
Jammu and Kashmir,20200331,54.0,2.0,2.0
Karnataka,20200331,83.0,5.0,3.0
Kerala,20200331,234.0,19.0,1.0
Ladakh,20200331,13.0,3.0,0.0
Madhya Pradesh,20200331,47.0,0.0,3.0
Maharashtra,20200331,216.0,39.0,9.0
Manipur,20200331,1.0,0.0,0.0
Mizoram,20200331,1.0,0.0,0.0
Odisha,20200331,3.0,0.0,0.0
Puducherry,20200331,1.0,0.0,0.0
Punjab,20200331,41.0,1.0,3.0
Rajasthan,20200331,74.0,3.0,0.0
Tamil Nadu,20200331,74.0,4.0,1.0
Telengana,20200331,79.0,1.0,1.0
Uttarakhand,20200331,7.0,2.0,0.0
Uttar Pradesh,20200331,101.0,14.0,0.0
West Bengal,20200331,26.0,0.0,2.0
Andhra Pradesh,20200401,83.0,1.0,0.0
Andaman and Nicobar Islands,20200401,10.0,0.0,0.0
Bihar,20200401,23.0,0.0,1.0
Chandigarh,20200401,13.0,0.0,0.0
Chhattisgarh,20200401,9.0,0.0,0.0
Delhi,20200401,120.0,6.0,2.0
Goa,20200401,5.0,0.0,0.0
Gujarat,20200401,74.0,5.0,6.0
Haryana,20200401,43.0,21.0,0.0
Himachal Pradesh,20200401,3.0,0.0,1.0
Jammu and Kashmir,20200401,55.0,2.0,2.0
Karnataka,20200401,101.0,8.0,3.0
Kerala,20200401,241.0,23.0,2.0
Ladakh,20200401,13.0,3.0,0.0
Madhya Pradesh,20200401,47.0,0.0,3.0
Maharashtra,20200401,302.0,39.0,9.0
Manipur,20200401,1.0,0.0,0.0
Mizoram,20200401,1.0,0.0,0.0
Odisha,20200401,4.0,0.0,0.0
Puducherry,20200401,1.0,0.0,0.0
Punjab,20200401,41.0,1.0,3.0
Rajasthan,20200401,93.0,3.0,0.0
Tamil Nadu,20200401,124.0,4.0,1.0
Telengana,20200401,94.0,1.0,3.0
Uttarakhand,20200401,7.0,2.0,0.0
Uttar Pradesh,20200401,103.0,14.0,0.0
West Bengal,20200401,26.0,0.0,2.0
Andhra Pradesh,20200402,83.0,0.0,0.0
Andaman and Nicobar Islands,20200402,10.0,1.0,0.0
Assam,20200402,1.0,0.0,0.0
Bihar,20200402,23.0,0.0,1.0
Chandigarh,20200402,16.0,0.0,0.0
Chhattisgarh,20200402,9.0,2.0,0.0
Delhi,20200402,152.0,6.0,2.0
Goa,20200402,5.0,0.0,0.0
Gujarat,20200402,82.0,5.0,6.0
Haryana,20200402,43.0,21.0,0.0
Himachal Pradesh,20200402,3.0,0.0,1.0
Jammu and Kashmir,20200402,62.0,2.0,2.0
Jharkhand,20200402,1.0,0.0,0.0
Karnataka,20200402,101.0,8.0,3.0
Kerala,20200402,241.0,23.0,2.0
Ladakh,20200402,13.0,3.0,0.0
Madhya Pradesh,20200402,66.0,0.0,3.0
Maharashtra,20200402,302.0,39.0,9.0
Manipur,20200402,1.0,0.0,0.0
Mizoram,20200402,1.0,0.0,0.0
Odisha,20200402,4.0,0.0,0.0
Puducherry,20200402,3.0,1.0,0.0
Punjab,20200402,42.0,1.0,3.0
Rajasthan,20200402,93.0,3.0,0.0
Tamil Nadu,20200402,234.0,6.0,1.0
Telengana,20200402,96.0,1.0,3.0
Uttarakhand,20200402,7.0,2.0,0.0
Uttar Pradesh,20200402,103.0,14.0,2.0
West Bengal,20200402,37.0,6.0,3.0
